site_id,sensor,band,valid_before,valid_after,valid_both,chg_p01,chg_p05,chg_p50,chg_p95,chg_p99,frac_below_t1,frac_below_t2
counterfactual_0003_08,sentinel1,VV,0.9900990099009901,0.9900990099009901,0.9900990099009901,-5.463415575027466,-3.721709847450256,0.07779622077941895,3.666040325164795,4.869686794281007,0.1806930693069307,0.039405940594059406
counterfactual_0003_09,sentinel2,NDVI,1.0,1.0,1.0,-0.1698119044303894,-0.11830872297286987,-0.02113252878189087,0.2837366461753845,0.44075480103492737,0.07842368395255367,0.0034310361729242233
counterfactual_0003_09,sentinel1,VV,1.0,1.0,1.0,-5.495927333831787,-3.847214698791504,0.09786796569824219,3.7016830444335938,5.184029579162598,0.18517792373296735,0.043917263013430054
counterfactual_0003_10,sentinel2,NDVI,1.0,1.0,1.0,-0.2606962323188782,-0.20796895027160645,-0.05472588539123535,0.1803828477859497,0.34617897868156433,0.2693853543770219,0.05911185177923733
counterfactual_0003_10,sentinel1,VV,1.0,1.0,1.0,-4.126452445983887,-2.75740909576416,-0.1350860595703125,2.479175567626953,3.8607873916625977,0.11940005881776296,0.012645819037349279
counterfactual_0004_01,sentinel2,NDVI,0.9900990099009901,0.9900990099009901,0.9900990099009901,-0.12962449014186858,-0.09015145897865295,-0.021357715129852295,0.058155077695846526,0.16652408003807087,0.03237623762376238,0.00019801980198019803
counterfactual_0004_01,sentinel1,VV,0.9900990099009901,0.9900990099009901,0.9900990099009901,-3.7291489028930664,-2.709387958049774,-0.41796302795410156,1.8438692808151234,2.8216658687591556,0.12811881188118812,0.005544554455445544
counterfactual_0004_02,sentinel2,NDVI,1.0,1.0,1.0,-0.2450425624847412,-0.12085092067718506,-0.019310295581817627,0.059525907039642334,0.11096835136413574,0.08224683854524066,0.01921380256837565
counterfactual_0004_02,sentinel1,VV,1.0,1.0,1.0,-3.5232162475585938,-2.533811569213867,-0.21097660064697266,2.1465368270874023,3.2008590698242188,0.09979413782962454,0.004117243407509068
counterfactual_0004_03,sentinel2,NDVI,1.0,1.0,1.0,-0.14565980434417725,-0.10287147760391235,-0.030309438705444336,0.013861477375030518,0.033741116523742676,0.05617096363101657,0.001176355259288305
counterfactual_0004_03,sentinel1,VV,1.0,1.0,1.0,-3.660001754760742,-2.6566314697265625,-0.38471031188964844,1.835042953491211,2.735863208770752,0.11822370355847465,0.006273894716204293
counterfactual_0004_04,sentinel2,NDVI,1.0,1.0,1.0,-0.1671813428401947,-0.09252822399139404,-0.007444858551025391,0.11866781115531921,0.24110841751098633,0.040192138025683756,0.005391628271738065
counterfactual_0004_04,sentinel1,VV,1.0,1.0,1.0,-3.5262045860290527,-2.496933937072754,-0.1727447509765625,2.142183303833008,3.270385265350342,0.09303009508871679,0.00421527301244976
counterfactual_0004_05,sentinel2,NDVI,0.9999019703950593,0.9999019703950593,0.9999019703950593,-0.7627876335382462,-0.3749129667878151,-0.021859049797058105,0.07468158602714532,0.15304674148559572,0.0953921568627451,0.058627450980392154
counterfactual_0004_05,sentinel1,VV,0.9999019703950593,0.9999019703950593,0.9999019703950593,-3.8943097496032713,-2.7023778915405274,-0.2537112236022949,2.1146386623382565,3.0352192735672014,0.1157843137254902,0.008725490196078432
counterfactual_0004_06,sentinel2,NDVI,1.0,1.0,1.0,-0.2939598560333252,-0.16232305765151978,-0.021971464157104492,0.16367852687835693,0.21146541833877563,0.13528085481815508,0.034310361729242234
counterfactual_0004_06,sentinel1,VV,1.0,1.0,1.0,-3.7016563415527344,-2.723536491394043,-0.3397798538208008,1.9411096572875977,2.912755012512207,0.1265562199784335,0.006469953926085678
counterfactual_0004_07,sentinel2,NDVI,0.9900990099009901,0.9900990099009901,0.9900990099009901,-0.15572441518306732,-0.12057953178882598,-0.035847485065460205,0.05929846763610825,0.13164813697338107,0.10623762376237623,0.0007920792079207921
counterfactual_0004_07,sentinel1,VV,0.9900990099009901,0.9900990099009901,0.9900990099009901,-3.466340880393982,-2.470065784454346,-0.12172317504882812,2.1377160549163814,3.062944352626802,0.09445544554455446,0.0040594059405940595
counterfactual_0004_08,sentinel2,NDVI,1.0,1.0,1.0,-0.1217799186706543,-0.08341336250305176,-0.019169867038726807,0.050457000732421875,0.08017504215240479,0.023233016370944024,0.00029408881482207626
counterfactual_0004_08,sentinel1,VV,1.0,1.0,1.0,-3.6941094398498535,-2.6485300064086914,-0.3265657424926758,1.8950910568237305,2.7886276245117188,0.11743946671894913,0.005489657876678757
counterfactual_0004_09,sentinel2,NDVI,1.0,1.0,1.0,-0.5641025900840759,-0.23981475830078125,-0.02873128652572632,0.0380556583404541,0.20513752102851868,0.10214684834820116,0.05421037153220273
counterfactual_0004_09,sentinel1,VV,1.0,1.0,1.0,-3.602407932281494,-2.700857162475586,-0.42572498321533203,1.9470205307006836,2.9967899322509766,0.12930104891677285,0.005293598666797373
counterfactual_0004_10,sentinel2,NDVI,1.0,1.0,1.0,-0.1765921711921692,-0.11633294820785522,-0.03566789627075195,0.013258099555969238,0.04195690155029297,0.08361925301441035,0.005587687481619449
counterfactual_0004_10,sentinel1,VV,1.0,1.0,1.0,-3.5387659072875977,-2.5660619735717773,-0.285097599029541,1.9663915634155273,2.892261505126953,0.10881286148416822,0.0036270953828056074
counterfactual_0005_01,sentinel2,NDVI,0.9900990099009901,0.9900990099009901,0.9900990099009901,-0.247957084774971,-0.1578090727329254,-0.01570621132850647,0.21172624230384804,0.2548912662267685,0.13217821782178218,0.024257425742574258
counterfactual_0005_01,sentinel1,VV,0.9900990099009901,0.9900990099009901,0.9900990099009901,-3.7605875492095944,-2.7181455373764036,-0.37418413162231445,1.997296118736267,2.9438997268676794,0.12049504950495049,0.006435643564356435
counterfactual_0005_02,sentinel2,NDVI,1.0,1.0,1.0,-0.27928268909454346,-0.2076055407524109,-0.024192512035369873,0.09842938184738159,0.19222021102905273,0.13439858837368884,0.055092637976668954
counterfactual_0005_02,sentinel1,VV,1.0,1.0,1.0,-3.666595458984375,-2.6114234924316406,-0.22446537017822266,2.168102264404297,3.2058210372924805,0.10626409175571022,0.006371924321144986
counterfactual_0005_03,sentinel2,NDVI,1.0,1.0,1.0,-0.15350234508514404,-0.10178571939468384,-0.01462787389755249,0.10024213790893555,0.19815504550933838,0.05313204587785511,0.00235271051857661
