arm,sensor,treated,donor,n_matched
D_full,sentinel2,treatment_0009,counterfactual_0009_05,144
D_full,sentinel2,treatment_0010,counterfactual_0010_01,154
D_full,sentinel2,treatment_0010,counterfactual_0010_02,153
D_full,sentinel2,treatment_0010,counterfactual_0010_03,117
D_full,sentinel2,treatment_0010,counterfactual_0010_04,102
D_full,sentinel2,treatment_0010,counterfactual_0010_05,77
E,sentinel1,treatment_0001,counterfactual_0001_01,141
E,sentinel1,treatment_0001,counterfactual_0001_02,104
E,sentinel1,treatment_0001,counterfactual_0001_03,101
E,sentinel1,treatment_0001,counterfactual_0001_04,142
E,sentinel1,treatment_0001,counterfactual_0001_05,133
E,sentinel1,treatment_0002,counterfactual_0002_01,110
E,sentinel1,treatment_0002,counterfactual_0002_02,94
E,sentinel1,treatment_0002,counterfactual_0002_03,103
E,sentinel1,treatment_0002,counterfactual_0002_04,83
E,sentinel1,treatment_0002,counterfactual_0002_05,125
E,sentinel1,treatment_0003,counterfactual_0003_01,176
E,sentinel1,treatment_0003,counterfactual_0003_02,182
E,sentinel1,treatment_0003,counterfactual_0003_03,174
E,sentinel1,treatment_0003,counterfactual_0003_04,176
E,sentinel1,treatment_0003,counterfactual_0003_05,122
E,sentinel1,treatment_0004,counterfactual_0004_01,59
E,sentinel1,treatment_0004,counterfactual_0004_02,150
E,sentinel1,treatment_0004,counterfactual_0004_03,54
E,sentinel1,treatment_0004,counterfactual_0004_04,134
E,sentinel1,treatment_0004,counterfactual_0004_05,61
E,sentinel1,treatment_0005,counterfactual_0005_01,58
E,sentinel1,treatment_0005,counterfactual_0005_02,121
E,sentinel1,treatment_0005,counterfactual_0005_03,111
E,sentinel1,treatment_0005,counterfactual_0005_04,136
E,sentinel1,treatment_0005,counterfactual_0005_05,157
E,sentinel1,treatment_0006,counterfactual_0006_01,171
E,sentinel1,treatment_0006,counterfactual_0006_02,155
E,sentinel1,treatment_0006,counterfactual_0006_03,147
E,sentinel1,treatment_0006,counterfactual_0006_04,177
E,sentinel1,treatment_0006,counterfactual_0006_05,157
E,sentinel1,treatment_0007,counterfactual_0007_01,147
E,sentinel1,treatment_0007,counterfactual_0007_02,191
E,sentinel1,treatment_0007,counterfactual_0007_03,174
E,sentinel1,treatment_0007,counterfactual_0007_04,158
E,sentinel1,treatment_0007,counterfactual_0007_05,95
E,sentinel1,treatment_0008,counterfactual_0008_01,150
E,sentinel1,treatment_0008,counterfactual_0008_02,123
E,sentinel1,treatment_0008,counterfactual_0008_03,147
E,sentinel1,treatment_0008,counterfactual_0008_04,91
E,sentinel1,treatment_0008,counterfactual_0008_05,121
E,sentinel1,treatment_0009,counterfactual_0009_01,160
E,sentinel1,treatment_0009,counterfactual_0009_02,181
E,sentinel1,treatment_0009,counterfactual_0009_03,149
E,sentinel1,treatment_0009,counterfactual_0009_04,149
E,sentinel1,treatment_0009,counterfactual_0009_05,150
E,sentinel1,treatment_0010,counterfactual_0010_01,174
E,sentinel1,treatment_0010,counterfactual_0010_02,177
E,sentinel1,treatment_0010,counterfactual_0010_03,130
E,sentinel1,treatment_0010,counterfactual_0010_04,118
E,sentinel1,treatment_0010,counterfactual_0010_05,90
E,sentinel2,treatment_0001,counterfactual_0001_01,141
E,sentinel2,treatment_0001,counterfactual_0001_02,104
E,sentinel2,treatment_0001,counterfactual_0001_03,101
E,sentinel2,treatment_0001,counterfactual_0001_04,142
E,sentinel2,treatment_0001,counterfactual_0001_05,133
E,sentinel2,treatment_0002,counterfactual_0002_01,98
E,sentinel2,treatment_0002,counterfactual_0002_02,82
E,sentinel2,treatment_0002,counterfactual_0002_03,77
E,sentinel2,treatment_0002,counterfactual_0002_04,57
E,sentinel2,treatment_0002,counterfactual_0002_05,99
E,sentinel2,treatment_0003,counterfactual_0003_01,171
E,sentinel2,treatment_0003,counterfactual_0003_02,182
E,sentinel2,treatment_0003,counterfactual_0003_03,167
E,sentinel2,treatment_0003,counterfactual_0003_04,176
E,sentinel2,treatment_0003,counterfactual_0003_05,122
E,sentinel2,treatment_0004,counterfactual_0004_01,58
E,sentinel2,treatment_0004,counterfactual_0004_02,108
E,sentinel2,treatment_0004,counterfactual_0004_03,54
E,sentinel2,treatment_0004,counterfactual_0004_04,133
E,sentinel2,treatment_0004,counterfactual_0004_05,60
E,sentinel2,treatment_0005,counterfactual_0005_01,56
E,sentinel2,treatment_0005,counterfactual_0005_02,120
E,sentinel2,treatment_0005,counterfactual_0005_03,109
E,sentinel2,treatment_0005,counterfactual_0005_04,128
E,sentinel2,treatment_0005,counterfactual_0005_05,149
E,sentinel2,treatment_0006,counterfactual_0006_01,171
E,sentinel2,treatment_0006,counterfactual_0006_02,155
E,sentinel2,treatment_0006,counterfactual_0006_03,147
